eid,l,mc,acc,fa,fp,nch,ap,det,cov,ws,ld,tp,fn
1,n,8799.0,0.4746348431092476,True,11402,20,52.536515689075244,,,,,,
4,a,2594.0,,,6037,16,27.362330407023144,True,0.13656196915697966,0.2243119535346874,171.31944444444446,820.0,1775.0
5,a,1136.0,,,1873,12,9.19116050883515,True,0.14003673094582186,1.0,85.84722222222223,244.0,0.0
6,n,5976.0,0.5621520565018695,True,10539,16,43.78479434981305,,,,,,
8,n,463.0,0.9729063059478814,True,681,9,2.709369405211856,,,,,,
9,a,571.0,,,2016,11,10.52118280408832,True,0.24901272487933304,0.30164997266869686,144.16666666666666,681.0,2205.0
11,a,13195.0,,,12848,19,75.98044261451365,True,0.15657449348355765,0.9228352044134565,147.50694444444446,1915.0,186.0
12,a,4925.0,,,2436,18,20.67734132012441,True,0.6021070684797256,1.0,96.34722222222223,2949.0,0.0
15,a,426.0,,,1177,14,4.933562476422015,True,0.0,0.0,81.54861111111111,0.0,2425.0
16,a,898.0,,,3461,18,18.422598648780966,True,0.09834570795883808,1.0,156.65972222222223,302.0,0.0
18,a,3998.0,,,6111,18,26.579276443447892,True,0.010512535702951444,0.015131952268559257,148.70833333333334,53.0,499.0
20,n,615.0,0.9576009929134804,True,1059,17,4.23990070865196,,,,,,
28,a,11470.0,,,12781,18,62.9454273610765,True,0.18849505547707107,1.0,170.68055555555554,2375.0,0.0
29,n,1871.0,0.6372309930261413,True,8479,17,36.27690069738587,,,,,,
30,a,18472.0,,,20791,18,87.07728972346632,True,0.02353286384976526,0.9256396770812262,167.27777777777777,401.0,31.0
31,a,5160.0,,,8926,17,38.12083333333333,True,0.03028327765555827,1.0,169.0625,223.0,0.0
32,n,6485.0,0.5563776873432811,True,10792,16,44.36223126567189,,,,,,
33,a,1084.0,,,2313,17,10.300481255307963,True,0.0974188176519567,0.0369654599120159,142.97916666666666,234.0,1588.0
35,a,5704.0,,,8038,20,39.086432024578684,True,0.08636235559312483,0.5873563483638712,163.0,613.0,273.0
36,n,5934.0,0.6550715646740817,True,7784,18,34.49284353259184,,,,,,
37,n,539.0,0.9270767279644896,True,1610,18,7.2923272035510465,,,,,,
39,a,16287.0,,,16046,16,76.93797534130096,True,0.018428175992904004,1.0,123.18055555555556,241.0,0.0
41,n,334.0,0.978025770823746,True,573,10,2.1974229176254028,,,,,,
43,n,9721.0,0.4472373838935172,True,11545,13,55.276261610648284,,,,,,
44,a,544.0,,,1324,13,9.426778537685962,True,0.3464558846173587,0.15154461287252466,118.85416666666667,1350.0,7437.0
46,n,2101.0,0.6982135922330097,True,7771,15,30.178640776699027,,,,,,
47,a,3240.0,,,8539,14,36.077235772357724,True,0.09186142351971498,1.0,156.75694444444446,691.0,0.0
48,n,15511.0,0.04927484545886828,True,15995,20,95.07251545411317,,,,,,
49,a,976.0,,,3291,14,14.139637612990304,True,0.057546973583859115,0.20598446024136213,166.88194444444446,166.0,429.0
50,n,17627.0,0.2184976849194505,True,20423,19,78.15023150805494,,,,,,
54,n,3475.0,0.6541949187157912,True,8466,16,34.58050812842088,,,,,,
55,a,18870.0,,,18635,15,80.80964275801911,True,0.10405988509309366,0.8228013285149541,147.20138888888889,1746.0,624.0
56,n,1305.0,0.890795631825273,True,2660,17,10.9204368174727,,,,,,
57,n,17273.0,0.20089526896658177,True,20708,18,79.91047310334183,,,,,,
58,n,4423.0,0.700942990178816,True,7643,12,29.9057009821184,,,,,,
59,n,1115.0,0.9176515119653447,True,1958,13,8.234848803465535,,,,,,
60,n,33.0,0.9986813016328588,False,34,8,0.13186983671411395,,,,,,
61,n,4452.0,0.6229574861367837,True,10199,9,37.70425138632162,,,,,,
62,n,17178.0,0.25050229044442657,True,18652,15,74.94977095555734,,,,,,
63,n,627.0,0.9427253974032278,True,1416,16,5.7274602596772235,,,,,,
64,n,7851.0,0.5289724034908405,True,11982,19,47.10275965091596,,,,,,
65,n,24035.0,0.032662629419808555,True,24759,17,96.73373705801914,,,,,,
66,a,593.0,,,1342,15,5.800729865059831,True,0.022178850248403124,0.1488095238095238,61.6875,25.0,143.0
67,a,610.0,,,4062,18,19.940128504672895,True,0.2334889926617745,0.18020616114163757,151.61805555555554,1400.0,6732.0
70,a,16662.0,,,18075,16,82.10071942446044,True,0.11488541755032296,0.7151556183639718,169.93055555555554,1896.0,737.0
75,n,2553.0,0.6863478101520982,True,8558,17,31.36521898479018,,,,,,
76,a,533.0,,,2613,18,13.425473976262653,True,0.0,0.0,171.96527777777777,0.0,191.0
78,a,3295.0,,,4478,16,19.55267853437902,True,0.06126616746085772,0.9841438654162237,170.43055555555554,234.0,15.0
79,a,361.0,,,1759,14,7.765723142181255,True,0.09312780989081568,0.8554459601259181,165.53472222222223,145.0,24.0
80,n,12140.0,0.44186622625928984,True,13518,16,55.81337737407102,,,,,,
81,a,14814.0,,,17413,16,74.5491490982982,True,0.013944533318232654,1.0,161.90277777777777,197.0,0.0
85,n,420.0,0.928388852242744,True,1737,9,7.1611147757255935,,,,,,
88,n,4579.0,0.6573210205635949,True,7199,16,34.26789794364052,,,,,,
89,n,4444.0,0.6726443883509776,True,8689,11,32.73556116490223,,,,,,
90,a,681.0,,,2280,17,9.378470651145571,True,0.0,0.0,174.03472222222223,0.0,1466.0
91,a,13416.0,,,12998,16,61.33230619526435,True,0.16904875337462283,0.912741689044442,118.11805555555556,2129.0,333.0
93,n,369.0,0.94441431670282,True,1435,14,5.558568329718004,,,,,,
94,n,646.0,0.9235704547277248,True,1906,15,7.642954527227524,,,,,,
