,0
rotor_bearing__res_std_sensor_196_avg,0.006475461697128295
rotor_bearing__res_rmse_sensor_196_avg,0.006938369567917604
rotor_bearing__res_maxabs_sensor_196_avg,0.008015705227761159
rotor_bearing__res_kurtosis_sensor_196_avg,0.005614022702022894
rotor_bearing__res_outlier_sensor_196_avg,0.00411021512530768
rotor_bearing__r2_local_sensor_196_avg,0.004939028665437323
rotor_bearing__r2_drop_sensor_196_avg,7.009159758943531e-05
rotor_bearing__dtheta_norm_sensor_196_avg,0.009640496344349466
rotor_bearing__dtheta_max_sensor_196_avg,0.008474300857384482
rotor_bearing__dtheta_mean_sensor_196_avg,0.008883345343875824
rotor_bearing__res_mean_sensor_197_avg,0.012861596941455283
rotor_bearing__res_std_sensor_197_avg,0.005342970065897983
rotor_bearing__res_rmse_sensor_197_avg,0.00641618596768728
rotor_bearing__res_maxabs_sensor_197_avg,0.007924370642416894
rotor_bearing__res_kurtosis_sensor_197_avg,0.006667252203707547
rotor_bearing__res_outlier_sensor_197_avg,0.00458237703223136
rotor_bearing__r2_local_sensor_197_avg,0.004806696826701082
rotor_bearing__r2_drop_sensor_197_avg,6.530680480072254e-05
rotor_bearing__dtheta_norm_sensor_197_avg,0.00847266358127715
rotor_bearing__dtheta_max_sensor_197_avg,0.009019689465004447
rotor_bearing__dtheta_mean_sensor_197_avg,0.009137868467689663
rotor_bearing__ws_mean,0.004569321666645466
rotor_bearing__ws_std,0.0036430628313184857
rotor_bearing__pw_mean,0.005811346263491623
rotor_bearing__pw_std,0.004651396237850287
